Country,Date Start,Keywords
China,2020-02-03,"military takeover, special management arrangements"
China,2020-02-03,general nonessential business suspension
China,2020-02-03,international traveller screening - risk countries
China,2020-02-04,economic stimulus
China,2020-02-05,diagnostic criteria loosened
China,2020-02-05,"hospital construction, hospital specialisation, treatment capacity"
China,2020-02-05,"hospital construction, hospital specialisation, treatment capacity"
China,2020-02-05,"intellectual property, pharmaceutical treatment"
China,2020-02-06,"school closure, university closure"
China,2020-02-06,"school closure, university closure"
China,2020-02-06,"school closure, university closure"
China,2020-02-06,economic stimulus
China,2020-02-06,"school closure, university closure"
China,2020-02-06,economic stimulus
China,2020-02-06,epidemic data
China,2020-02-06,"deregulation, economic stimulus"
China,2020-02-07,medical aid
China,2020-02-07,"encouraging symptomatic people to seek tests, fever medicine ban"
China,2020-02-08,economic stimulus
China,2020-02-08,treatment capacity
China,2020-02-08,economic stimulus
China,2020-02-08,"hospital construction, hospital specialisation, treatment capacity"
China,2020-02-08,business resumed
China,2020-02-10,very large event cancellation or postponement
European Union,2020-01-09,public announcement
China,2020-01-10,"case reporting, first case"
China,2020-01-12,contacts traced total
Thailand,2020-01-13,"first case, international traveller screening - risk countries"
Japan,2020-01-16,"case reporting, first case, source tracing"
China,2020-02-11,wild animal ban
China,2020-02-11,economic stimulus
China,2020-02-12,"public transport limitation lifted, social distancing"
China,2020-02-13,public mask and hygiene supply
China,2020-02-13,"general nonessential business suspension, school closure"
China,2020-02-13,school closure
China,2020-02-13,"blanket isolation - no symptoms, compulsory isolation"
China,2020-02-14,"compulsory isolation, domestic traveller quarantine"
Italy,2020-03-12,general nonessential business suspension
Italy,2020-03-12,general nonessential business suspension
Italy,2020-03-08,blanket curfew - no symptoms
Italy,2020-03-08,sports cancellation
Italy,2020-03-08,cultural activity limitation
Italy,2020-03-08,religious activity cancellation
Italy,2020-03-08,activity cancellation - other
Italy,2020-03-08,"school closure, university closure"
Czechia,2020-03-14,general nonessential business suspension
Czechia,2020-03-13,"confirmed case isolation, international traveller quarantine - risk countries"
Czechia,2020-03-14,"limited nonessential business suspension, restaurant limitations"
Czechia,2020-03-13,outbound traveller ban
Czechia,2020-03-12,"emergency declaration, special management arrangements"
China,2020-02-14,"contact tracing, phone based location tracing, public transport occupancy tracing"
China,2020-02-14,remote schooling - limited
China,2020-02-14,activity cancellation - other
China,2020-02-15,"blanket isolation - no symptoms, compulsory isolation"
China,2020-02-15,general nonessential business suspension
China,2020-02-15,"cash cleaning, public hygiene"
China,2020-02-16,"compulsory isolation, natural village quarantine"
China,2020-02-16,outdoor gatherings banned
China,2020-02-16,domestic travel resumed
China,2020-02-16,remote medical treatment
China,2020-02-16,"contact tracing, phone based location tracing, public transport occupancy tracing"
China,2020-02-16,"economic stimulus, encouraging symptomatic people to seek tests, financial incentive, testing"
China,2020-02-17,"blanket isolation - no symptoms, compulsory isolation"
China,2020-02-17,"domestic travel resumed, public transport resumed"
China,2020-02-18,"contact tracing, phone based location tracing, public transport occupancy tracing"
China,2020-02-18,business resumed
China,2020-02-18,"mandated remote schooling, remote schooling"
China,2020-02-19,domestic traveller screening
China,2020-02-19,"diagnostic criteria tightened, testing"
China,2020-02-19,public transport resumed
China,2020-02-19,domestic travel resumed
China,2020-02-19,general nonessential business suspension
China,2020-02-19,total vehicle ban
China,2020-02-20,domestic travel resumed
China,2020-02-20,encouraging symptomatic people to seek tests
China,2020-02-21,domestic travel resumed
China,2020-02-21,"diagnostic criteria tightened, epidemic data"
China,2020-02-21,"test contacts, test symptomatic"
China,2020-02-22,"compulsory isolation, confirmed case isolation, discharged patient isolation"
China,2020-02-25,"compulsory isolation, international traveller quarantine - risk countries"
Czechia,2020-03-10,"school closure, university closure"
China,2020-02-25,"test inpatients, test vulnerable, testing criteria loosened"
Australia,2020-02-01,international traveller quarantine - risk countries
China,2020-02-25,"compulsory isolation, international traveller quarantine - risk countries"
China,2020-02-26,"domestic traveller screening, test travellers"
Czechia,2020-03-10,international traveller screening - all countries
Czechia,2020-03-10,"social distancing, visiting in hospital banned"
Japan,2020-02-01,international travel ban - risk countries
Trinidad and Tobago,2020-02-01,international travel ban - risk countries
Czechia,2020-03-10,public announcement
Qatar,2020-02-03,international travel ban - risk countries
North Korea,2020-02-02,"cultural activity limitation, remote work"
New Zealand,2020-02-02,international travel ban - risk countries
North Korea,2020-02-02,"mandated remote work, remote work"
United States,2020-02-03,testing planned
China,2020-02-08,general nonessential business suspension
United States,2020-02-06,university closure
United States,2020-02-06,quarantine planned
Colombia,2020-02-05,testing commenced
Czechia,2020-03-10,outdoor gatherings banned
Romania,2020-01-22,hospital specialisation
France,2020-02-09,testing commenced
Romania,2020-03-16,"public announcement, special management arrangements, state of emergency"
Portugal,2020-03-15,"cultural activity limitation, limited nonessential business suspension, social distancing"
Spain,2020-03-09,"school closure, university closure"
France,2020-03-16,"school closure, university closure"
Belgium,2020-03-14,school closure
Belgium,2020-03-14,"cultural activity limitation, limited nonessential business suspension"
Belgium,2020-03-14,general nonessential business suspension
Belgium,2020-03-14,remote work
Luxembourg,2020-03-16,school closure
Portugal,2020-03-13,"school closure, university closure"
Albania,2020-03-16,"first case, school closure"
Andorra,2020-03-16,school closure
Spain,2020-03-14,"blanket isolation - no symptoms, general nonessential business suspension"
Spain,2020-03-14,general nonessential business suspension
Austria,2020-03-10,indoor gatherings banned
Austria,2020-03-10,international travel ban - risk countries
Austria,2020-03-10,"public announcement, social distancing"
Austria,2020-03-15,school closure
Austria,2020-03-17,school closure
Austria,2020-03-12,case reporting
Austria,2020-03-17,"limited nonessential business suspension, restaurant limitations"
Austria,2020-03-15,"outdoor gatherings banned, social distancing"
Austria,2020-03-15,blanket isolation - no symptoms
Azerbaijan,2020-02-28,"case reporting, first case, traveller testing"
Spain,2020-01-31,first case
Azerbaijan,2020-03-04,international travel ban - risk countries
Spain,2020-02-13,public announcement
Azerbaijan,2020-03-02,"school closure, university closure"
Azerbaijan,2020-02-28,international travel ban - risk countries
Spain,2020-03-11,"sports cancellation, very large event cancellation or postponement"
Spain,2020-02-12,very large event cancellation or postponement
Spain,2020-03-12,"sports cancellation, very large event cancellation or postponement"
Spain,2020-03-12,"sports cancellation, very large event cancellation or postponement"
Spain,2020-03-06,religious activity limitations
Spain,2020-03-10,international travel ban - risk countries
France,2020-02-28,event cancellation - other
Spain,2020-03-10,"school closure, university closure"
Spain,2020-03-11,"school closure, university closure"
France,2020-02-29,"sports cancellation, very large event cancellation or postponement"
France,2020-03-13,"sports cancellation, very large event cancellation or postponement"
France,2020-03-15,general nonessential business suspension
Belarus,2020-02-28,"case reporting, first case, traveller testing"
Belgium,2020-02-21,international traveller quarantine - risk countries
Belgium,2020-03-16,public announcement
Belgium,2020-01-29,"outbound traveller ban, public announcement"
Belgium,2020-02-04,"case reporting, first case"
Belgium,2020-02-01,"international traveller quarantine - risk countries, quarantine planned"
Belgium,2020-01-29,very large event cancellation or postponement
Belgium,2020-03-08,public announcement
Belarus,2020-03-16,case reporting
Belarus,2020-03-13,case reporting
Belarus,2020-03-04,case reporting
Belarus,2020-03-03,case reporting
Belgium,2020-03-12,"cultural activity limitation, limited nonessential business suspension, school closure"
Bosnia and Herzegovina,2020-03-10,outdoor gatherings banned
Bosnia and Herzegovina,2020-03-11,"school closure, university closure"
Bosnia and Herzegovina,2020-03-10,international travel ban - risk countries
Belgium,2020-02-25,public announcement
Belgium,2020-02-24,"case reporting, cohort isolation - no symptoms"
Bosnia and Herzegovina,2020-03-05,"case reporting, first case, traveller testing"
Belgium,2020-03-01,international traveller quarantine - risk countries
Belgium,2020-03-01,"case reporting, public announcement"
Bosnia and Herzegovina,2020-03-15,"general nonessential business suspension, restaurant limitations"
Bulgaria,2020-03-13,"general nonessential business suspension, school closure"
Bulgaria,2020-03-14,case reporting
Bulgaria,2020-03-13,"public announcement, special management arrangements"
Bulgaria,2020-03-08,"general nonessential business suspension, protective equipment supplies"
Bulgaria,2020-03-10,case reporting
Bosnia and Herzegovina,2020-03-12,limited nonessential business suspension
Bosnia and Herzegovina,2020-03-10,very large event cancellation or postponement
Bulgaria,2020-03-08,indoor gatherings banned
Bulgaria,2020-03-08,"case reporting, contact tracing, first case"
Denmark,2020-02-27,"case reporting, first case"
Bulgaria,2020-03-10,"public announcement, research"
Estonia,2020-02-27,"case reporting, first case"
Denmark,2020-03-13,remote schooling
Denmark,2020-03-13,"cultural activity limitation, school closure, university closure"
Denmark,2020-03-16,school closure
