Country Name,Country Code,Indicator Name,Indicator Code,GDP 2016
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,313115929314.339
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,75704647977.3087
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,160032930353.764
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,13462443506492.4
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,10516848773739.3
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,22462886797038.3
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,2961055666920.53
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,20383995368965.2
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,99937696000.0
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,332927833278.038
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,11965226491773.9
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1232076017361.53
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,23996451497.6139
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,74296618481.0882
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,16576327763543.2
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,758695015519.4409
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,240570297852.344
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,4930204219.713039
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2471285607081.72
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,2689157270.82312
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,332265162.497548
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,14014369641.7689
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2694283209613.29
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,15141758566.7808
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,55009730600.0307
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,8603833218.24226
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1467255923.49024
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1178204501.38801
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,11233177619.4663
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,195222443512.93698
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1061631222.22222
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,2707146783.13056
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,68663649521.7042
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,5795000000.0
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,3504024213.0750604
High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,48882853027998.3
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,320860698504.30896
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,21717622071.3816
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,679870183467.598
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,51596929180.1352
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,7970649131.234159
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,127507473625.63199
IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,26021680550061.5
IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,28076581427309.5
IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,2066071129895.94
IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,949705911350.1229
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,931877364177.7421
IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,1113591405725.41
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,6592627599.24386
India,IND,GDP (current US$),NY.GDP.MKTP.CD,2290432075123.75
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,300523297712.96
Iran,IRN,GDP (current US$),NY.GDP.MKTP.CD,418976679728.567
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,174878976033.941
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,20716024757.4057
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,318950599017.50604
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1875579883543.09
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,14075894320.3166
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,39196676056.338
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,4926667087367.51
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,137278320084.17099
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,69188755511.0911
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,6813092065.835071
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,20159271964.9628
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,178328873.03003302
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,971166666.666667
South Korea,KOR,GDP (current US$),NY.GDP.MKTP.CD,1414804158515.26
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,109420059582.92
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,4861575277282.66
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,15805692545.8723
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,51239050082.9187
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,3277826000.0
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,26197143268.1243
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,1701596814.81481
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,5393582217284.15
Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,972596714372.7479
Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,508651872173.688
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,6214633651.30911
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,82401038709.5356
Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,6024343572549.64
Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,27292696035924.6
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2314323471.3948
Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,18424530953922.9
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,43021972484.8299
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,60691483443.1221
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,27734140217.3664
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,45387299721.0792
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,103311649248.024
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,6468694690.26549
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,8071480540.86068
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,11848613735.1933
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,4379136461.8307705
Middle East & North Africa,MEA,GDP (current US$),NY.GDP.MKTP.CD,3154095675160.35
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1077903618176.07
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,200558400.0
Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,26786575822943.3
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,10672471860.7184
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,14010787737.8424
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,11452895366.67
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,63256184700.2223
Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,1458150907733.31
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,4374128318.58407
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,11186734674.3847
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,1250000000.0
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,11936999283.1791
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,4679346590.90909
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,12232463655.5727
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,5433040159.88747
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,301255454041.415
North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,20239948343915.9
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,11286139080.0065
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,7528285443.607691
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,404649527537.753
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,13286048705.496
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,783528181704.567
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,368827142857.14294
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,21185922407.5922
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,102052700.538652
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,187854022728.45898
OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,47794485710761.6
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,65941482444.7334
Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,367308799389.9
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,278654637737.69
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,57957600000.0
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,191895943823.887
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,304897590205.413
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,300125600.0
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,20759069104.55
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,472028000405.803
Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,1236063707422.04
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,104336700000.0
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,206286022781.89398
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,36054281572.3981
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,13425700000.0
Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,9315360628.35708
Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,45405177643131.9
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,151732142857.143
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,188494136775.719
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1282723881134.01
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,8475622319.014
South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,2919989612835.99
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,644935541440.0
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,95558220776.92099
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,19027392875.8489
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,318068476293.883
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,1230459709.77114
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,3674794530.18956
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,24154000000.0
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1564380530.97345
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,4198485403.87919
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,40630392018.541
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1555207594557.1
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1556636332371.29
Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,444682719510.476
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,347545391.785
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,3166040522.7499
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,89640741266.0295
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,44651537259.9731
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,515744370225.386
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,3840677844.5785203
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1427524565.30226
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,950357510.0
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,10090922857.3905
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,13436590885148.0
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,3484680596506.47
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,4483932937.18367
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,412352789519.611
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,6952678127.03396
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,36180000000.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,5158626846011.5
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,2503532100.0
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),NY.GDP.MKTP.CD,1444558654200.28
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,401109307.359307
South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,2919989612835.99
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1556636332371.29
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,22284780326.8856
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,41802653631.2849
Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,863721648068.8059
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,36547419.8730745
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,49774021003.0747
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,24133664284.5089
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,93355993628.5042
Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,20751564752096.5
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,52687612262.177
US,USA,GDP (current US$),NY.GDP.MKTP.CD,18707188235000.0
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,81779012350.8833
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,774429629.62963
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,3863000000.0
Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,205276172134.901
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,804332795.575017
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,76163840829219.8
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,799376439.9992731
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,6714726769.9115
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,30968242967.7823
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,296357282715.109
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,20954754378.1394
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,20548678100.0
